participant_id,compliance_period,gross_position,net_position,position_status,max_sell_quantity,buy_need_remaining
SYN-STL-L-A,2026,-3000,22000,SURPLUS,22000,0
SYN-STL-L-B,2024,-111000,-95000,DEFICIT,0,95000
SYN-STL-L-B,2025,-133000,-117000,DEFICIT,0,117000
SYN-STL-L-B,2026,-158000,-142000,DEFICIT,0,142000
SYN-FRT-S-A,2024,4000,4000,SURPLUS,4000,0
SYN-FRT-S-A,2025,3000,5000,SURPLUS,5000,0
SYN-FRT-S-A,2026,2000,5000,SURPLUS,5000,0
SYN-FRT-S-B,2024,-5000,-4000,DEFICIT,0,4000
SYN-FRT-S-B,2025,-6000,-5000,DEFICIT,0,5000
SYN-FRT-S-B,2026,-8000,-7000,DEFICIT,0,7000
SYN-FRT-M-A,2024,20000,20000,SURPLUS,20000,0
SYN-FRT-M-A,2025,15000,27000,SURPLUS,27000,0
SYN-FRT-M-A,2026,9000,23000,SURPLUS,23000,0
SYN-FRT-M-B,2024,-13000,-9000,DEFICIT,0,9000
SYN-FRT-M-B,2025,-18000,-14000,DEFICIT,0,14000
SYN-FRT-M-B,2026,-29000,-25000,DEFICIT,0,25000
SYN-FRT-L-A,2024,57000,57000,SURPLUS,57000,0
SYN-FRT-L-A,2025,36000,70000,SURPLUS,70000,0
SYN-FRT-L-A,2026,20000,55000,SURPLUS,55000,0
SYN-FRT-L-B,2024,-40000,-29000,DEFICIT,0,29000
SYN-FRT-L-B,2025,-58000,-47000,DEFICIT,0,47000
SYN-FRT-L-B,2026,-76000,-64000,DEFICIT,0,64000
SYN-PLP-S-A,2024,9000,9000,SURPLUS,9000,0
SYN-PLP-S-A,2025,8000,13000,SURPLUS,13000,0
SYN-PLP-S-A,2026,8000,15000,SURPLUS,15000,0
SYN-PLP-S-B,2024,1000,1000,SURPLUS,1000,0
SYN-PLP-S-B,2025,0,1000,SURPLUS,1000,0
SYN-PLP-S-B,2026,0,1000,SURPLUS,1000,0
SYN-PLP-M-A,2024,32000,32000,SURPLUS,32000,0
SYN-PLP-M-A,2025,28000,47000,SURPLUS,47000,0
SYN-PLP-M-A,2026,19000,43000,SURPLUS,43000,0
SYN-PLP-M-B,2024,6000,6000,SURPLUS,6000,0
SYN-PLP-M-B,2025,-4000,0,BALANCED,0,0
SYN-PLP-M-B,2026,-8000,-5000,DEFICIT,0,5000
SYN-PLP-L-A,2024,87000,87000,SURPLUS,87000,0
SYN-PLP-L-A,2025,73000,125000,SURPLUS,125000,0
SYN-PLP-L-A,2026,59000,122000,SURPLUS,122000,0
SYN-PLP-L-B,2024,9000,9000,SURPLUS,9000,0
SYN-PLP-L-B,2025,-5000,0,BALANCED,0,0
SYN-PLP-L-B,2026,-19000,-12000,DEFICIT,0,12000
SYN-MFG-S-A,2024,5000,5000,SURPLUS,5000,0
SYN-MFG-S-A,2025,6000,9000,SURPLUS,9000,0
SYN-MFG-S-A,2026,6000,11000,SURPLUS,11000,0
SYN-MFG-S-B,2024,3000,3000,SURPLUS,3000,0
SYN-MFG-S-B,2025,3000,5000,SURPLUS,5000,0
SYN-MFG-S-B,2026,-2000,1000,SURPLUS,1000,0
SYN-MFG-M-A,2024,19000,19000,SURPLUS,19000,0
SYN-MFG-M-A,2025,13000,24000,SURPLUS,24000,0
SYN-MFG-M-A,2026,11000,23000,SURPLUS,23000,0
SYN-MFG-M-B,2024,5000,5000,SURPLUS,5000,0
SYN-MFG-M-B,2025,3000,6000,SURPLUS,6000,0
SYN-MFG-M-B,2026,2000,5000,SURPLUS,5000,0
SYN-MFG-L-A,2024,46000,46000,SURPLUS,46000,0
SYN-MFG-L-A,2025,41000,69000,SURPLUS,69000,0
SYN-MFG-L-A,2026,36000,71000,SURPLUS,71000,0
SYN-MFG-L-B,2024,18000,18000,SURPLUS,18000,0
SYN-MFG-L-B,2025,12000,23000,SURPLUS,23000,0
SYN-MFG-L-B,2026,6000,18000,SURPLUS,18000,0
