participant_id,legal_name,business_type,scale_class,operating_profile,series_code,compliance_period,pre_adjustment_quota,quota_adjustment,allocated_quota,verified_emission,acknowledged_purchases,acknowledged_sales,eligible_banked_units,eligible_offset_applied,eligible_holding,buying_capacity,source_status,data_origin,source_reference
SYN-COAL-M-B,Sintetis Pembangkit Batu Bara MEDIUM B,PEMBANGKIT_BATU_BARA,MEDIUM,Beban Tinggi,PTBAE-IND,2025,1547000,-2000,1545000,1671000,0,0,0,7000,1552000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-COAL-M-B
SYN-COAL-M-B,Sintetis Pembangkit Batu Bara MEDIUM B,PEMBANGKIT_BATU_BARA,MEDIUM,Beban Tinggi,PTBAE-IND,2026,1526000,-1000,1525000,1674000,0,0,0,7000,1532000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-COAL-M-B
SYN-COAL-L-A,Sintetis Pembangkit Batu Bara LARGE A,PEMBANGKIT_BATU_BARA,LARGE,Efisiensi Tinggi,PTBAE-IND,2024,4132000,-2000,4130000,4091000,0,0,0,0,4130000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-COAL-L-A
SYN-COAL-L-A,Sintetis Pembangkit Batu Bara LARGE A,PEMBANGKIT_BATU_BARA,LARGE,Efisiensi Tinggi,PTBAE-IND,2025,4098000,-1000,4097000,4119000,0,0,23000,0,4120000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-COAL-L-A
SYN-COAL-L-A,Sintetis Pembangkit Batu Bara LARGE A,PEMBANGKIT_BATU_BARA,LARGE,Efisiensi Tinggi,PTBAE-IND,2026,4042000,0,4042000,4126000,0,0,1000,17000,4060000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-COAL-L-A
SYN-COAL-L-B,Sintetis Pembangkit Batu Bara LARGE B,PEMBANGKIT_BATU_BARA,LARGE,Beban Tinggi,PTBAE-IND,2024,4470000,-1000,4469000,4755000,0,0,0,19000,4488000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-COAL-L-B
SYN-COAL-L-B,Sintetis Pembangkit Batu Bara LARGE B,PEMBANGKIT_BATU_BARA,LARGE,Beban Tinggi,PTBAE-IND,2025,4433000,0,4433000,4788000,0,0,0,19000,4452000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-COAL-L-B
SYN-COAL-L-B,Sintetis Pembangkit Batu Bara LARGE B,PEMBANGKIT_BATU_BARA,LARGE,Beban Tinggi,PTBAE-IND,2026,4373000,1000,4374000,4796000,0,0,0,19000,4393000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-COAL-L-B
SYN-GAS-S-A,Sintetis Pembangkit Gas SMALL A,PEMBANGKIT_GAS,SMALL,Efisiensi Tinggi,PTBAE-IND,2024,279000,0,279000,261000,0,0,0,0,279000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-GAS-S-A
SYN-GAS-S-A,Sintetis Pembangkit Gas SMALL A,PEMBANGKIT_GAS,SMALL,Efisiensi Tinggi,PTBAE-IND,2025,282000,1000,283000,268000,0,0,11000,0,294000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-GAS-S-A
SYN-GAS-S-A,Sintetis Pembangkit Gas SMALL A,PEMBANGKIT_GAS,SMALL,Efisiensi Tinggi,PTBAE-IND,2026,285000,2000,287000,275000,0,0,13000,0,300000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-GAS-S-A
SYN-GAS-S-B,Sintetis Pembangkit Gas SMALL B,PEMBANGKIT_GAS,SMALL,Beban Tinggi,PTBAE-IND,2024,294000,1000,295000,297000,0,0,0,1000,296000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-GAS-S-B
SYN-GAS-S-B,Sintetis Pembangkit Gas SMALL B,PEMBANGKIT_GAS,SMALL,Beban Tinggi,PTBAE-IND,2025,297000,2000,299000,305000,0,0,0,2000,301000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-GAS-S-B
SYN-GAS-S-B,Sintetis Pembangkit Gas SMALL B,PEMBANGKIT_GAS,SMALL,Beban Tinggi,PTBAE-IND,2026,301000,-2000,299000,313000,0,0,0,2000,301000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-GAS-S-B
SYN-GAS-M-A,Sintetis Pembangkit Gas MEDIUM A,PEMBANGKIT_GAS,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2024,888000,2000,890000,830000,0,0,0,0,890000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-GAS-M-A
SYN-GAS-M-A,Sintetis Pembangkit Gas MEDIUM A,PEMBANGKIT_GAS,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2025,899000,-2000,897000,853000,0,0,36000,0,933000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-GAS-M-A
SYN-GAS-M-A,Sintetis Pembangkit Gas MEDIUM A,PEMBANGKIT_GAS,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2026,908000,-1000,907000,875000,0,0,40000,0,947000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-GAS-M-A
SYN-GAS-M-B,Sintetis Pembangkit Gas MEDIUM B,PEMBANGKIT_GAS,MEDIUM,Beban Tinggi,PTBAE-IND,2024,914000,-2000,912000,923000,0,0,0,4000,916000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-GAS-M-B
SYN-GAS-M-B,Sintetis Pembangkit Gas MEDIUM B,PEMBANGKIT_GAS,MEDIUM,Beban Tinggi,PTBAE-IND,2025,924000,-1000,923000,948000,0,0,0,6000,929000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-GAS-M-B
SYN-GAS-M-B,Sintetis Pembangkit Gas MEDIUM B,PEMBANGKIT_GAS,MEDIUM,Beban Tinggi,PTBAE-IND,2026,934000,0,934000,973000,0,0,0,6000,940000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-GAS-M-B
SYN-GAS-L-A,Sintetis Pembangkit Gas LARGE A,PEMBANGKIT_GAS,LARGE,Efisiensi Tinggi,PTBAE-IND,2024,2468000,-1000,2467000,2307000,0,0,0,0,2467000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-GAS-L-A
SYN-GAS-L-A,Sintetis Pembangkit Gas LARGE A,PEMBANGKIT_GAS,LARGE,Efisiensi Tinggi,PTBAE-IND,2025,2498000,0,2498000,2370000,0,0,96000,0,2594000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-GAS-L-A
SYN-GAS-L-A,Sintetis Pembangkit Gas LARGE A,PEMBANGKIT_GAS,LARGE,Efisiensi Tinggi,PTBAE-IND,2026,2524000,1000,2525000,2432000,0,0,112000,0,2637000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-GAS-L-A
SYN-GAS-L-B,Sintetis Pembangkit Gas LARGE B,PEMBANGKIT_GAS,LARGE,Beban Tinggi,PTBAE-IND,2024,2646000,0,2646000,2673000,0,0,0,9000,2655000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-GAS-L-B
SYN-GAS-L-B,Sintetis Pembangkit Gas LARGE B,PEMBANGKIT_GAS,LARGE,Beban Tinggi,PTBAE-IND,2025,2679000,1000,2680000,2747000,0,0,0,16000,2696000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-GAS-L-B
SYN-GAS-L-B,Sintetis Pembangkit Gas LARGE B,PEMBANGKIT_GAS,LARGE,Beban Tinggi,PTBAE-IND,2026,2706000,2000,2708000,2818000,0,0,0,17000,2725000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-GAS-L-B
SYN-CEM-S-A,Sintetis Industri Semen SMALL A,SEMEN,SMALL,Efisiensi Tinggi,PTBAE-IND,2024,212000,1000,213000,204000,0,0,0,0,213000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-CEM-S-A
SYN-CEM-S-A,Sintetis Industri Semen SMALL A,SEMEN,SMALL,Efisiensi Tinggi,PTBAE-IND,2025,212000,2000,214000,207000,0,0,5000,0,219000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-CEM-S-A
SYN-CEM-S-A,Sintetis Industri Semen SMALL A,SEMEN,SMALL,Efisiensi Tinggi,PTBAE-IND,2026,211000,-2000,209000,209000,0,0,6000,0,215000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-CEM-S-A
SYN-CEM-S-B,Sintetis Industri Semen SMALL B,SEMEN,SMALL,Beban Tinggi,PTBAE-IND,2024,212000,2000,214000,223000,0,0,0,2000,216000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-CEM-S-B
SYN-CEM-S-B,Sintetis Industri Semen SMALL B,SEMEN,SMALL,Beban Tinggi,PTBAE-IND,2025,211000,-2000,209000,226000,0,0,0,2000,211000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-CEM-S-B
SYN-CEM-S-B,Sintetis Industri Semen SMALL B,SEMEN,SMALL,Beban Tinggi,PTBAE-IND,2026,210000,-1000,209000,228000,0,0,0,2000,211000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-CEM-S-B
SYN-CEM-M-A,Sintetis Industri Semen MEDIUM A,SEMEN,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2024,667000,-2000,665000,641000,0,0,0,0,665000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-CEM-M-A
SYN-CEM-M-A,Sintetis Industri Semen MEDIUM A,SEMEN,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2025,666000,-1000,665000,650000,0,0,14000,0,679000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-CEM-M-A
SYN-CEM-M-A,Sintetis Industri Semen MEDIUM A,SEMEN,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2026,662000,0,662000,656000,0,0,15000,0,677000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-CEM-M-A
SYN-CEM-M-B,Sintetis Industri Semen MEDIUM B,SEMEN,MEDIUM,Beban Tinggi,PTBAE-IND,2024,696000,-1000,695000,733000,0,0,0,6000,701000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-CEM-M-B
SYN-CEM-M-B,Sintetis Industri Semen MEDIUM B,SEMEN,MEDIUM,Beban Tinggi,PTBAE-IND,2025,696000,0,696000,744000,0,0,0,6000,702000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-CEM-M-B
SYN-CEM-M-B,Sintetis Industri Semen MEDIUM B,SEMEN,MEDIUM,Beban Tinggi,PTBAE-IND,2026,691000,1000,692000,750000,0,0,0,6000,698000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-CEM-M-B
SYN-CEM-L-A,Sintetis Industri Semen LARGE A,SEMEN,LARGE,Efisiensi Tinggi,PTBAE-IND,2024,1914000,0,1914000,1840000,0,0,0,0,1914000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-CEM-L-A
SYN-CEM-L-A,Sintetis Industri Semen LARGE A,SEMEN,LARGE,Efisiensi Tinggi,PTBAE-IND,2025,1913000,1000,1914000,1867000,0,0,44000,0,1958000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-CEM-L-A
SYN-CEM-L-A,Sintetis Industri Semen LARGE A,SEMEN,LARGE,Efisiensi Tinggi,PTBAE-IND,2026,1900000,2000,1902000,1883000,0,0,46000,0,1948000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-CEM-L-A
SYN-CEM-L-B,Sintetis Industri Semen LARGE B,SEMEN,LARGE,Beban Tinggi,PTBAE-IND,2024,1905000,1000,1906000,2005000,0,0,0,16000,1922000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-CEM-L-B
SYN-CEM-L-B,Sintetis Industri Semen LARGE B,SEMEN,LARGE,Beban Tinggi,PTBAE-IND,2025,1903000,2000,1905000,2034000,0,0,0,16000,1921000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-CEM-L-B
SYN-CEM-L-B,Sintetis Industri Semen LARGE B,SEMEN,LARGE,Beban Tinggi,PTBAE-IND,2026,1891000,-2000,1889000,2052000,0,0,0,16000,1905000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-CEM-L-B
SYN-STL-S-A,Sintetis Industri Besi dan Baja SMALL A,BESI_BAJA,SMALL,Efisiensi Tinggi,PTBAE-IND,2024,168000,2000,170000,163000,0,0,0,0,170000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-STL-S-A
SYN-STL-S-A,Sintetis Industri Besi dan Baja SMALL A,BESI_BAJA,SMALL,Efisiensi Tinggi,PTBAE-IND,2025,160000,-2000,158000,158000,0,0,4000,0,162000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-STL-S-A
SYN-STL-S-A,Sintetis Industri Besi dan Baja SMALL A,BESI_BAJA,SMALL,Efisiensi Tinggi,PTBAE-IND,2026,163000,-1000,162000,163000,0,0,2000,0,164000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-STL-S-A
SYN-STL-S-B,Sintetis Industri Besi dan Baja SMALL B,BESI_BAJA,SMALL,Beban Tinggi,PTBAE-IND,2024,162000,-2000,160000,174000,0,0,0,2000,162000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-STL-S-B
SYN-STL-S-B,Sintetis Industri Besi dan Baja SMALL B,BESI_BAJA,SMALL,Beban Tinggi,PTBAE-IND,2025,155000,-1000,154000,169000,0,0,0,2000,156000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-STL-S-B
SYN-STL-S-B,Sintetis Industri Besi dan Baja SMALL B,BESI_BAJA,SMALL,Beban Tinggi,PTBAE-IND,2026,157000,0,157000,174000,0,0,0,2000,159000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-STL-S-B
SYN-STL-M-A,Sintetis Industri Besi dan Baja MEDIUM A,BESI_BAJA,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2024,537000,-1000,536000,521000,0,0,0,0,536000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-STL-M-A
SYN-STL-M-A,Sintetis Industri Besi dan Baja MEDIUM A,BESI_BAJA,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2025,514000,0,514000,507000,0,0,9000,0,523000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-STL-M-A
SYN-STL-M-A,Sintetis Industri Besi dan Baja MEDIUM A,BESI_BAJA,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2026,520000,1000,521000,520000,0,0,8000,0,529000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-STL-M-A
SYN-STL-M-B,Sintetis Industri Besi dan Baja MEDIUM B,BESI_BAJA,MEDIUM,Beban Tinggi,PTBAE-IND,2024,542000,0,542000,583000,0,0,0,6000,548000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-STL-M-B
SYN-STL-M-B,Sintetis Industri Besi dan Baja MEDIUM B,BESI_BAJA,MEDIUM,Beban Tinggi,PTBAE-IND,2025,519000,1000,520000,567000,0,0,0,6000,526000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-STL-M-B
SYN-STL-M-B,Sintetis Industri Besi dan Baja MEDIUM B,BESI_BAJA,MEDIUM,Beban Tinggi,PTBAE-IND,2026,525000,2000,527000,582000,0,0,0,6000,533000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-STL-M-B
SYN-STL-L-A,Sintetis Industri Besi dan Baja LARGE A,BESI_BAJA,LARGE,Efisiensi Tinggi,PTBAE-IND,2024,1503000,1000,1504000,1459000,0,0,0,0,1504000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-STL-L-A
SYN-STL-L-A,Sintetis Industri Besi dan Baja LARGE A,BESI_BAJA,LARGE,Efisiensi Tinggi,PTBAE-IND,2025,1439000,2000,1441000,1418000,0,0,27000,0,1468000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-STL-L-A
SYN-STL-L-A,Sintetis Industri Besi dan Baja LARGE A,BESI_BAJA,LARGE,Efisiensi Tinggi,PTBAE-IND,2026,1455000,-2000,1453000,1456000,0,0,25000,0,1478000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-STL-L-A
SYN-STL-L-B,Sintetis Industri Besi dan Baja LARGE B,BESI_BAJA,LARGE,Beban Tinggi,PTBAE-IND,2024,1495000,2000,1497000,1608000,0,0,0,16000,1513000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-STL-L-B
SYN-STL-L-B,Sintetis Industri Besi dan Baja LARGE B,BESI_BAJA,LARGE,Beban Tinggi,PTBAE-IND,2025,1432000,-2000,1430000,1563000,0,0,0,16000,1446000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-STL-L-B
SYN-STL-L-B,Sintetis Industri Besi dan Baja LARGE B,BESI_BAJA,LARGE,Beban Tinggi,PTBAE-IND,2026,1448000,-1000,1447000,1605000,0,0,0,16000,1463000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-STL-L-B
SYN-FRT-S-A,Sintetis Industri Pupuk dan Petrokimia SMALL A,PUPUK_PETROKIMIA,SMALL,Efisiensi Tinggi,PTBAE-IND,2024,130000,-2000,128000,124000,0,0,0,0,128000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-FRT-S-A
SYN-FRT-S-A,Sintetis Industri Pupuk dan Petrokimia SMALL A,PUPUK_PETROKIMIA,SMALL,Efisiensi Tinggi,PTBAE-IND,2025,129000,-1000,128000,125000,0,0,2000,0,130000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-FRT-S-A
SYN-FRT-S-A,Sintetis Industri Pupuk dan Petrokimia SMALL A,PUPUK_PETROKIMIA,SMALL,Efisiensi Tinggi,PTBAE-IND,2026,128000,0,128000,126000,0,0,3000,0,131000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-FRT-S-A
SYN-FRT-S-B,Sintetis Industri Pupuk dan Petrokimia SMALL B,PUPUK_PETROKIMIA,SMALL,Beban Tinggi,PTBAE-IND,2024,139000,-1000,138000,143000,0,0,0,1000,139000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-FRT-S-B
SYN-FRT-S-B,Sintetis Industri Pupuk dan Petrokimia SMALL B,PUPUK_PETROKIMIA,SMALL,Beban Tinggi,PTBAE-IND,2025,138000,0,138000,144000,0,0,0,1000,139000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-FRT-S-B
SYN-FRT-S-B,Sintetis Industri Pupuk dan Petrokimia SMALL B,PUPUK_PETROKIMIA,SMALL,Beban Tinggi,PTBAE-IND,2026,137000,1000,138000,146000,0,0,0,1000,139000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-FRT-S-B
SYN-FRT-M-A,Sintetis Industri Pupuk dan Petrokimia MEDIUM A,PUPUK_PETROKIMIA,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2024,415000,0,415000,395000,0,0,0,0,415000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-FRT-M-A
SYN-FRT-M-A,Sintetis Industri Pupuk dan Petrokimia MEDIUM A,PUPUK_PETROKIMIA,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2025,413000,1000,414000,399000,0,0,12000,0,426000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-FRT-M-A
SYN-FRT-M-A,Sintetis Industri Pupuk dan Petrokimia MEDIUM A,PUPUK_PETROKIMIA,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2026,410000,2000,412000,403000,0,0,14000,0,426000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-FRT-M-A
SYN-FRT-M-B,Sintetis Industri Pupuk dan Petrokimia MEDIUM B,PUPUK_PETROKIMIA,MEDIUM,Beban Tinggi,PTBAE-IND,2024,437000,1000,438000,451000,0,0,0,4000,442000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-FRT-M-B
SYN-FRT-M-B,Sintetis Industri Pupuk dan Petrokimia MEDIUM B,PUPUK_PETROKIMIA,MEDIUM,Beban Tinggi,PTBAE-IND,2025,435000,2000,437000,455000,0,0,0,4000,441000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-FRT-M-B
SYN-FRT-M-B,Sintetis Industri Pupuk dan Petrokimia MEDIUM B,PUPUK_PETROKIMIA,MEDIUM,Beban Tinggi,PTBAE-IND,2026,433000,-2000,431000,460000,0,0,0,4000,435000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-FRT-M-B
SYN-FRT-L-A,Sintetis Industri Pupuk dan Petrokimia LARGE A,PUPUK_PETROKIMIA,LARGE,Efisiensi Tinggi,PTBAE-IND,2024,1153000,2000,1155000,1098000,0,0,0,0,1155000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-FRT-L-A
SYN-FRT-L-A,Sintetis Industri Pupuk dan Petrokimia LARGE A,PUPUK_PETROKIMIA,LARGE,Efisiensi Tinggi,PTBAE-IND,2025,1147000,-2000,1145000,1109000,0,0,34000,0,1179000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-FRT-L-A
SYN-FRT-L-A,Sintetis Industri Pupuk dan Petrokimia LARGE A,PUPUK_PETROKIMIA,LARGE,Efisiensi Tinggi,PTBAE-IND,2026,1140000,-1000,1139000,1119000,0,0,35000,0,1174000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-FRT-L-A
SYN-FRT-L-B,Sintetis Industri Pupuk dan Petrokimia LARGE B,PUPUK_PETROKIMIA,LARGE,Beban Tinggi,PTBAE-IND,2024,1225000,-2000,1223000,1263000,0,0,0,11000,1234000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-FRT-L-B
SYN-FRT-L-B,Sintetis Industri Pupuk dan Petrokimia LARGE B,PUPUK_PETROKIMIA,LARGE,Beban Tinggi,PTBAE-IND,2025,1218000,-1000,1217000,1275000,0,0,0,11000,1228000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-FRT-L-B
SYN-FRT-L-B,Sintetis Industri Pupuk dan Petrokimia LARGE B,PUPUK_PETROKIMIA,LARGE,Beban Tinggi,PTBAE-IND,2026,1211000,0,1211000,1287000,0,0,0,12000,1223000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-FRT-L-B
SYN-PLP-S-A,Sintetis Industri Pulp dan Kertas SMALL A,PULP_KERTAS,SMALL,Efisiensi Tinggi,PTBAE-IND,2024,109000,-1000,108000,99000,0,0,0,0,108000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-PLP-S-A
SYN-PLP-S-A,Sintetis Industri Pulp dan Kertas SMALL A,PULP_KERTAS,SMALL,Efisiensi Tinggi,PTBAE-IND,2025,106000,0,106000,98000,0,0,5000,0,111000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-PLP-S-A
